setting,removed_group,n_features,accuracy,precision,recall,f1,delta_accuracy_vs_baseline,delta_precision_vs_baseline,delta_recall_vs_baseline,delta_f1_vs_baseline
baseline_all_features,,26,0.997612502632223,0.997823982739639,0.9990752351676968,0.9984492169377303,0.0,0.0,0.0,0.0
ablate_channel+packet_type_flags,channel+packet_type_flags,17,0.9930395487942996,0.9937082345829632,0.9972663951557119,0.9954841353947043,-0.0045729538379234436,-0.004115748156675814,-0.0018088400119848913,-0.0029650815430259936
ablate_length_ratio_features,length_ratio_features,18,0.9927066081601758,0.9980952380952381,0.992413229315785,0.9952461239123862,-0.004905894472047256,0.0002712553555991315,-0.00666200585191179,-0.0032030930253440504
ablate_timing_features,timing_features,21,0.992035035599037,0.9976266293672995,0.9920063327895716,0.9948085429978392,-0.005577467033185957,-0.00019735337233950379,-0.007068902378125186,-0.0036406739398910926
